date,stock price
02/02/2018,157.4506
05/02/2018,153.5168
06/02/2018,159.9326
07/02/2018,156.5089
08/02/2018,152.2023
09/02/2018,154.064
12/02/2018,160.2695
13/02/2018,161.875
14/02/2018,164.8596
15/02/2018,170.3953
16/02/2018,169.8437
20/02/2018,169.2724
21/02/2018,168.5041
22/02/2018,169.9127
23/02/2018,172.8677
26/02/2018,176.2856
27/02/2018,175.7143
28/02/2018,175.4484
01/03/2018,172.3752
02/03/2018,173.567
05/03/2018,174.1679
06/03/2018,174.0201
07/03/2018,172.4047
08/03/2018,174.2861
09/03/2018,177.2805
12/03/2018,178.9944
13/03/2018,177.2706
14/03/2018,175.7636
15/03/2018,175.9704
16/03/2018,175.3499
19/03/2018,172.6707
20/03/2018,172.6116
21/03/2018,168.7011
22/03/2018,166.3174
23/03/2018,162.466
26/03/2018,170.1786
27/03/2018,165.8151
28/03/2018,163.9829
29/03/2018,165.2635
02/04/2018,164.1799
03/04/2018,165.8643
04/04/2018,169.036
05/04/2018,170.2082
06/04/2018,165.8545
09/04/2018,167.4994
10/04/2018,170.6514
11/04/2018,169.8536
12/04/2018,171.5281
13/04/2018,172.1092
16/04/2018,173.1829
17/04/2018,175.5666
18/04/2018,175.1726
19/04/2018,170.2082
20/04/2018,163.2343
23/04/2018,162.7615
24/04/2018,160.496
25/04/2018,161.1954
26/04/2018,161.7568
27/04/2018,159.8853
30/04/2018,162.7812
01/05/2018,166.5637
02/05/2018,173.9216
03/05/2018,174.2368
04/05/2018,181.0727
07/05/2018,182.3828
08/05/2018,183.2594
09/05/2018,184.5498
10/05/2018,187.1896
11/05/2018,186.4776
14/05/2018,186.0425
15/05/2018,184.3517
16/05/2018,186.0722
17/05/2018,184.8955
18/05/2018,184.2231
21/05/2018,185.5283
22/05/2018,185.0636
23/05/2018,186.2502
24/05/2018,186.0425
25/05/2018,186.4677
29/05/2018,185.7953
30/05/2018,185.3998
31/05/2018,184.7768
01/06/2018,188.1091
04/06/2018,189.6813
05/06/2018,191.1447
06/06/2018,191.8072
07/06/2018,191.293
08/06/2018,189.5527
11/06/2018,189.088
12/06/2018,190.1262
13/06/2018,188.5639
14/06/2018,188.6628
15/06/2018,186.7248
18/06/2018,186.6259
19/06/2018,183.6101
20/06/2018,184.411
21/06/2018,183.3826
22/06/2018,182.8487
25/06/2018,180.1295
26/06/2018,182.3642
27/06/2018,182.0972
28/06/2018,183.4222
29/06/2018,183.0366
02/07/2018,185.0834
03/07/2018,181.8599
05/07/2018,183.3233
06/07/2018,185.8645
09/07/2018,188.4453
10/07/2018,188.2179
11/07/2018,185.7755
12/07/2018,188.8902
13/07/2018,189.1869
16/07/2018,188.7716
17/07/2018,189.3055
18/07/2018,188.2673
19/07/2018,189.7307
20/07/2018,189.2957
23/07/2018,189.4638
24/07/2018,190.8382
25/07/2018,192.6378
26/07/2018,192.0346
27/07/2018,188.8408
30/07/2018,187.7828
31/07/2018,188.1585
01/08/2018,199.243
02/08/2018,205.067
03/08/2018,205.6603
06/08/2018,206.7282
07/08/2018,204.7901
08/08/2018,204.9286
09/08/2018,206.5403
10/08/2018,205.9251
13/08/2018,207.2548
14/08/2018,208.128
15/08/2018,208.6142
16/08/2018,211.6704
17/08/2018,215.8974
20/08/2018,213.7938
21/08/2018,213.3771
22/08/2018,213.387
23/08/2018,213.8236
24/08/2018,214.4884
27/08/2018,216.2546
28/08/2018,218.001
29/08/2018,221.2557
30/08/2018,223.2898
31/08/2018,225.8697
04/09/2018,226.5941
05/09/2018,225.1156
06/09/2018,221.3747
07/09/2018,219.5887
10/09/2018,216.6416
11/09/2018,222.1189
12/09/2018,219.3604
13/09/2018,224.6591
14/09/2018,222.109
17/09/2018,216.1951
18/09/2018,216.5523
19/09/2018,216.6813
20/09/2018,218.3285
21/09/2018,215.9768
24/09/2018,219.0826
25/09/2018,220.4718
26/09/2018,218.7155
27/09/2018,223.2104
28/09/2018,223.9943
01/10/2018,225.5026
02/10/2018,227.5069
03/10/2018,230.2754
04/10/2018,226.2269
05/10/2018,222.5555
08/10/2018,222.0396
09/10/2018,225.1156
10/10/2018,214.6869
11/10/2018,212.7916
12/10/2018,220.3924
15/10/2018,215.6791
16/10/2018,220.4321
17/10/2018,219.4795
18/10/2018,214.3495
19/10/2018,217.614
22/10/2018,218.9437
23/10/2018,221.0076
24/10/2018,213.4267
25/10/2018,218.1003
26/10/2018,214.6273
29/10/2018,210.5987
30/10/2018,211.6505
31/10/2018,217.1675
01/11/2018,220.5015
02/11/2018,205.8755
05/11/2018,200.0311
06/11/2018,202.1942
07/11/2018,208.3264
08/11/2018,207.5995
09/11/2018,203.5967
12/11/2018,193.3407
13/11/2018,191.409
14/11/2018,186.0022
15/11/2018,190.5925
16/11/2018,192.7034
19/11/2018,185.0662
20/11/2018,176.2241
21/11/2018,176.025
23/11/2018,171.5541
26/11/2018,173.8742
27/11/2018,173.4958
28/11/2018,180.1672
29/11/2018,178.7831
30/11/2018,177.8173
03/12/2018,184.0306
04/12/2018,175.9354
06/12/2018,173.9738
07/12/2018,167.7704
10/12/2018,168.8756
11/12/2018,167.9098
12/12/2018,168.3778
13/12/2018,170.2199
14/12/2018,164.7732
17/12/2018,163.2398
18/12/2018,165.3607
19/12/2018,160.2028
20/12/2018,156.1602
21/12/2018,150.0862
24/12/2018,146.2029
26/12/2018,156.4987
27/12/2018,155.4831
28/12/2018,155.5627
31/12/2018,157.0663
02/01/2019,157.2455
03/01/2019,141.5827
04/01/2019,147.6268
07/01/2019,147.2982
08/01/2019,150.1061
09/01/2019,152.6552
10/01/2019,153.1431
11/01/2019,151.6396
14/01/2019,149.3594
15/01/2019,152.4162
16/01/2019,154.2783
17/01/2019,155.1943
18/01/2019,156.1502
22/01/2019,152.6453
23/01/2019,153.2626
24/01/2019,152.0478
25/01/2019,157.0862
28/01/2019,155.6324
29/01/2019,154.0194
30/01/2019,164.5442
31/01/2019,165.7291
01/02/2019,165.8088
